report.id,period.fiscal-year,cube.description,cube.tree-sequence,report.entity-name,dimensions.count,dimension-pair,cube.primary-local-name,fact.value,unit,cube_id
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",11,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GeneralFundMember'}],RevenueFromIncomeTaxModifiedAccrual,15028812.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",11,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GovernmentalFundsMember'}],RevenueFromIncomeTaxModifiedAccrual,15028812.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",12,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GeneralFundMember'}],RevenueFromPropertyTaxModifiedAccrual,6036217.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",12,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GovernmentalFundsMember'}],RevenueFromPropertyTaxModifiedAccrual,23710945.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",12,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'MajorFundsExcludingGeneralFundsMember'}],RevenueFromPropertyTaxModifiedAccrual,13752008.0,USD,404000
677268,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",12,County of Ogemaw,1,[{'GovernmentalFundsAxis': 'AggregateNonmajorFundMember'}],RevenueFromPropertyTaxModifiedAccrual,1141954.0,USD,404000
677268,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",12,County of Ogemaw,1,[{'GovernmentalFundsAxis': 'GeneralFundMember'}],RevenueFromPropertyTaxModifiedAccrual,6483841.0,USD,404000
677268,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",12,County of Ogemaw,1,[{'GovernmentalFundsAxis': 'GovernmentalFundsMember'}],RevenueFromPropertyTaxModifiedAccrual,7625795.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",41,"Flint, Michigan",0,,TaxRevenuesAndTaxRelatedRevenuesModifiedAccrual,13752008.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",41,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GeneralFundMember'}],TaxRevenuesAndTaxRelatedRevenuesModifiedAccrual,21065029.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",44,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'MajorFundsExcludingGeneralFundsMember'}],RevenueFromSpecialAssessmentsModifiedAccrual,3922720.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",46,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GeneralFundMember'}],RevenueFromBusinessLicensesAndPermitsModifiedAccrual,31645.0,USD,404000
677268,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",46,County of Ogemaw,1,[{'GovernmentalFundsAxis': 'AggregateNonmajorFundMember'}],RevenueFromBusinessLicensesAndPermitsModifiedAccrual,0.0,USD,404000
677268,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",46,County of Ogemaw,1,[{'GovernmentalFundsAxis': 'GeneralFundMember'}],RevenueFromBusinessLicensesAndPermitsModifiedAccrual,26233.0,USD,404000
677268,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",46,County of Ogemaw,1,[{'GovernmentalFundsAxis': 'GovernmentalFundsMember'}],RevenueFromBusinessLicensesAndPermitsModifiedAccrual,26233.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",47,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GeneralFundMember'}],RevenueFromNonBusinessLicensesAndPermitsModifiedAccrual,29120.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",47,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'MajorFundsExcludingGeneralFundsMember'}],RevenueFromNonBusinessLicensesAndPermitsModifiedAccrual,1653976.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",48,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GeneralFundMember'}],RevenueFromCableFranchiseFeesModifiedAccrual,919339.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",48,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GovernmentalFundsMember'}],RevenueFromCableFranchiseFeesModifiedAccrual,919339.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",49,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GeneralFundMember'}],RevenueFromLicensesAndPermitsAndFranchiseFeesModifiedAccrual,60765.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",49,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GovernmentalFundsMember'}],RevenueFromLicensesAndPermitsAndFranchiseFeesModifiedAccrual,1714741.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",49,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'MajorFundsExcludingGeneralFundsMember'}],RevenueFromLicensesAndPermitsAndFranchiseFeesModifiedAccrual,1653976.0,USD,404000
677268,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",59,County of Ogemaw,1,[{'GovernmentalFundsAxis': 'AggregateNonmajorFundMember'}],FederalCapitalGrantsModifiedAccrual,289848.0,USD,404000
677268,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",59,County of Ogemaw,1,[{'GovernmentalFundsAxis': 'GeneralFundMember'}],FederalCapitalGrantsModifiedAccrual,201310.0,USD,404000
677268,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",59,County of Ogemaw,1,[{'GovernmentalFundsAxis': 'GovernmentalFundsMember'}],FederalCapitalGrantsModifiedAccrual,1370394.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",60,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GeneralFundMember'}],GrantsContributionsAndDonationsFromFederalGovernmentalEntitiesModifiedAccrual,0.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",60,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GovernmentalFundsMember'}],GrantsContributionsAndDonationsFromFederalGovernmentalEntitiesModifiedAccrual,10654495.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",60,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'MajorFundsExcludingGeneralFundsMember'}],GrantsContributionsAndDonationsFromFederalGovernmentalEntitiesModifiedAccrual,10654495.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",65,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'MajorFundsExcludingGeneralFundsMember'}],IntergovernmentalRevenueFromStateStreetsAndHighwaysModifiedAccrual,15379172.0,USD,404000
677267,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",73,"Flint, Michigan",1,[{'GovernmentalFundsAxis': 'GeneralFundMember'}],IntergovernmentalRevenueFromStateStateRevenueSharingModifiedAccrual,17427642.0,USD,404000
677268,2021,"404000 - Statement - Governmental Funds Revenues, Expenditures and Changes in Fund Balances, General, Aggregate Nonmajor",73,County of Ogemaw,1,[{'GovernmentalFundsAxis': 'AggregateNonmajorFundMember'}],IntergovernmentalRevenueFromStateStateRevenueSharingModifiedAccrual,0.0,USD,404000
